"Exness","Symbol","Timestamp","Bid","Ask"
"exness","EURUSD","2026-09-25 00:00:00.098Z",1.13734,1.1374
"exness","EURUSD","2026-09-25 00:00:00.261Z",1.1373199999999999,1.13738
"exness","EURUSD","2026-09-25 00:00:00.665Z",1.13736,1.13742
"exness","EURUSD","2026-09-25 00:00:01.671Z",1.13735,1.13741
"exness","EURUSD","2026-09-25 00:00:02.784Z",1.13734,1.1374
"exness","EURUSD","2026-09-25 00:00:04.250Z",1.13735,1.13741
"exness","EURUSD","2026-09-25 00:00:08.262Z",1.13733,1.13739
"exness","EURUSD","2026-09-25 00:00:10.347Z",1.13734,1.1374
"exness","EURUSD","2026-09-25 00:00:10.633Z",1.1373199999999999,1.13738
"exness","EURUSD","2026-09-25 00:00:10.648Z",1.1373,1.13736
"exness","EURUSD","2026-09-25 00:00:11.253Z",1.13729,1.13735
"exness","EURUSD","2026-09-25 00:00:12.265Z",1.1373,1.13736
"exness","EURUSD","2026-09-25 00:00:13.319Z",1.13731,1.13737
"exness","EURUSD","2026-09-25 00:00:14.357Z",1.1373,1.13736
"exness","EURUSD","2026-09-25 00:00:16.738Z",1.13731,1.13737
"exness","EURUSD","2026-09-25 00:00:17.756Z",1.1373,1.13736
"exness","EURUSD","2026-09-25 00:00:21.245Z",1.13729,1.13735
"exness","EURUSD","2026-09-25 00:00:22.313Z",1.1373,1.13736
"exness","EURUSD","2026-09-25 00:00:23.944Z",1.13733,1.13739
"exness","EURUSD","2026-09-25 00:00:23.953Z",1.13734,1.1374
"exness","EURUSD","2026-09-25 00:00:24.970Z",1.13735,1.13741
"exness","EURUSD","2026-09-25 00:00:26.006Z",1.13734,1.1374
"exness","EURUSD","2026-09-25 00:00:29.010Z",1.13735,1.13741
"exness","EURUSD","2026-09-25 00:00:32.247Z",1.13734,1.1374
"exness","EURUSD","2026-09-25 00:00:33.745Z",1.13736,1.13742
"exness","EURUSD","2026-09-25 00:00:34.745Z",1.13735,1.13741
"exness","EURUSD","2026-09-25 00:00:38.851Z",1.13733,1.13739
"exness","EURUSD","2026-09-25 00:00:39.187Z",1.13731,1.13737
"exness","EURUSD","2026-09-25 00:00:39.414Z",1.13734,1.1374
"exness","EURUSD","2026-09-25 00:00:39.814Z",1.13736,1.13742
"exness","EURUSD","2026-09-25 00:00:40.870Z",1.13735,1.13741
"exness","EURUSD","2026-09-25 00:00:44.189Z",1.13734,1.1374
"exness","EURUSD","2026-09-25 00:00:47.090Z",1.13736,1.13742
"exness","EURUSD","2026-09-25 00:00:48.104Z",1.13735,1.13741
"exness","EURUSD","2026-09-25 00:00:49.254Z",1.13734,1.1374
"exness","EURUSD","2026-09-25 00:00:54.145Z",1.13735,1.13741
"exness","EURUSD","2026-09-25 00:00:57.050Z",1.13734,1.1374
"exness","EURUSD","2026-09-25 00:00:58.876Z",1.13735,1.13741
"exness","EURUSD","2026-09-25 00:00:59.938Z",1.13733,1.13739
"exness","EURUSD","2026-09-25 00:01:01.101Z",1.13734,1.1374
"exness","EURUSD","2026-09-25 00:01:02.611Z",1.13735,1.13741
"exness","EURUSD","2026-09-25 00:01:02.672Z",1.13737,1.13743
"exness","EURUSD","2026-09-25 00:01:02.695Z",1.13738,1.13744
"exness","EURUSD","2026-09-25 00:01:02.823Z",1.13735,1.13741
"exness","EURUSD","2026-09-25 00:01:04.220Z",1.13737,1.13743
